,0,1
0,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\100080576_f52e8ee070_n.jpg,0
1,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\10172379554_b296050f82_n.jpg,0
2,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\10172567486_2748826a8b.jpg,0
3,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\10172636503_21bededa75_n.jpg,0
4,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\102841525_bd6628ae3c.jpg,0
5,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\1031799732_e7f4008c03.jpg,0
6,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\10391248763_1d16681106_n.jpg,0
7,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\10437754174_22ec990b77_m.jpg,0
8,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\10437770546_8bb6f7bdd3_m.jpg,0
9,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\10437929963_bc13eebe0c.jpg,0
10,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\10466290366_cc72e33532.jpg,0
11,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\10466558316_a7198b87e2.jpg,0
12,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\10555749515_13a12a026e.jpg,0
13,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\10555826524_423eb8bf71_n.jpg,0
14,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\105806915_a9c13e2106_n.jpg,0
15,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\10712722853_5632165b04.jpg,0
16,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\107592979_aaa9cdfe78_m.jpg,0
17,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\10770585085_4742b9dac3_n.jpg,0
18,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\10841136265_af473efc60.jpg,0
19,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\10993710036_2033222c91.jpg,0
20,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\10993818044_4c19b86c82.jpg,0
21,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\10994032453_ac7f8d9e2e.jpg,0
22,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\11023214096_b5b39fab08.jpg,0
23,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\11023272144_fce94401f2_m.jpg,0
24,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\11124324295_503f3a0804.jpg,0
25,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\1140299375_3aa7024466.jpg,0
26,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\11439894966_dca877f0cd.jpg,0
27,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\1150395827_6f94a5c6e4_n.jpg,0
28,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\11642632_1e7627a2cc.jpg,0
29,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\11870378973_2ec1919f12.jpg,0
30,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\11891885265_ccefec7284_n.jpg,0
31,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\12193032636_b50ae7db35_n.jpg,0
32,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\12348343085_d4c396e5b5_m.jpg,0
33,D:\研究生\研究生\machine_learning\src\raw_datasets\flower_photos\daisy\12585131704_0f64b17059_m.jpg,0
